n_heads,n_layers,d_k,roc_auc,accuracy,mcc,f1,sensitivity,specificity,precision,recall,aupr
1,1,32,0.9808441403338397,0.9324006412258239,0.8660315300744275,0.9340327821748037,0.9568065733683147,0.9080036319131548,0.9125063200167493,0.9568065733683147,0.9788793436156015
1,1,64,0.9807979561088376,0.9304603085378803,0.8624576780067965,0.9318479371557824,0.9508210843776659,0.9100776614464008,0.9144367937050616,0.9508210843776659,0.9790462188361804
1,2,32,0.9791086845955977,0.9266129535944039,0.8546742985326334,0.9280282098676007,0.9462672672287082,0.9069393503869924,0.9112881129636452,0.9462672672287082,0.9770402581743631
1,2,64,0.9789003494442021,0.9294027023088294,0.8591597446572579,0.9291340183877347,0.9261365764366072,0.9326896728873756,0.9325217660263124,0.9261365764366072,0.9769095317970728
1,3,32,0.9807914393186611,0.9308725251389669,0.8631318751417917,0.9321504579244395,0.9487295261751688,0.9129836031045404,0.9169632125790395,0.9487295261751688,0.9788221012182717
1,3,64,0.9801419098971114,0.9308975079632752,0.8625933647360181,0.9317029162669284,0.9432053420212151,0.9185811200537801,0.9210331393553863,0.9432053420212151,0.9781759599583019
2,1,32,0.9796100578389059,0.9291612016738492,0.8598239122926147,0.930734538124846,0.9516054317900787,0.9066741626623973,0.91137950710068,0.9516054317900787,0.9774362437717177
2,1,64,0.9802401008725117,0.9300022900922282,0.8613355658066137,0.9313070415091442,0.9488178182707735,0.9111726787923795,0.9151576659057902,0.9488178182707735,0.9783193926639212
2,2,32,0.9802600872395377,0.930939146003789,0.8628409758382081,0.9320467002272516,0.9468188763784614,0.9150608349094839,0.9182440069141844,0.9468188763784614,0.9785013867783612
2,2,64,0.9807392843303153,0.9322382528678201,0.8653642513180936,0.9336379815969567,0.9533468304293408,0.9111341008399906,0.914838654304804,0.9533468304293408,0.9789963474148238
2,3,32,0.9801055584418851,0.9302063164907459,0.8619172782976368,0.93205311943785,0.9570943695370853,0.9032987297862188,0.9085305141419582,0.9570943695370853,0.9779859298525191
2,3,64,0.9799813632954206,0.9330418670497366,0.8664290225050039,0.9336442701898017,0.9420924896144071,0.9239965945771967,0.9255556840150245,0.9420924896144071,0.9777821951855474
4,1,32,0.9797725112080972,0.9307850852538879,0.8629853754711265,0.9324420281894756,0.9547441797862641,0.9068240410755104,0.9115770559925401,0.9547441797862641,0.977431687876231
4,1,64,0.980402695673978,0.9312639227197967,0.863939862553916,0.9330425776083089,0.9574314899569906,0.9051090193301683,0.9100813410873629,0.9574314899569906,0.9781177084382005
4,2,32,0.9799757344863151,0.9297607894572482,0.8606329680703302,0.9304601051729545,0.940578202643084,0.9189417284456656,0.9214994029121503,0.940578202643084,0.9779471708853802
4,2,64,0.9811021134897725,0.9343992671704869,0.8692834761961006,0.9350981701069431,0.9447441104250407,0.9240537439244045,0.9259518851741128,0.9447441104250407,0.9790568523778935
4,3,32,0.9800855189685045,0.9316553203006267,0.8643857625528956,0.9329416891092963,0.9504831320464735,0.9128229917641363,0.9164822323073635,0.9504831320464735,0.9778083268953468
4,3,64,0.9807967617813109,0.9320175712530968,0.8651903768727156,0.9335430133077095,0.9547483413030238,0.909273335578369,0.9135114071894824,0.9547483413030238,0.9789486258222315
