n_heads,n_layers,d_k,roc_auc,accuracy,mcc,f1,sensitivity,specificity,precision,recall,aupr
1,1,32,0.9778588305384714,0.9276247579788895,0.8559189387723591,0.9287120825620413,0.9425205326003516,0.912740160438012,0.9155868885509172,0.9425205326003516,0.9762302233128366
1,1,64,0.9796236040980901,0.930643515916141,0.8620924890081616,0.9319495967128016,0.9491159211269441,0.912166443435021,0.9156089927667953,0.9491159211269441,0.977992116693667
1,2,32,0.9780852610936052,0.9273541107155496,0.85536142832274,0.9281194536947822,0.9375004955209141,0.9171869050393046,0.9194183275625114,0.9375004955209141,0.976294547215921
1,2,64,0.9798689638111824,0.9306518435242438,0.8620306009841707,0.931639879201413,0.9442262851335169,0.9170751481085457,0.9197916234712536,0.9442262851335169,0.9782011362907422
1,3,32,0.978767404740086,0.9302312993150542,0.860620088834998,0.930436686231608,0.9332609935009236,0.9272106733456893,0.9277778745754255,0.9332609935009236,0.9767824274062145
1,3,64,0.9804066276831739,0.9310349134969709,0.8627279138573549,0.9321429564141429,0.9469945897725685,0.9150758101023142,0.9179694953329008,0.9469945897725685,0.9787740883480238
2,1,32,0.9786576473292948,0.9278079653571503,0.8563966934528763,0.9287075996517566,0.9392140179156663,0.9163936886499402,0.918999644947311,0.9392140179156663,0.9768132961174351
2,1,64,0.9800324042895803,0.9315678804155476,0.8639853758991437,0.9328284955748268,0.9500212699498988,0.9131030960231732,0.91650540293658,0.9500212699498988,0.9783100062043417
2,2,32,0.9786579659983949,0.9280203193637707,0.8567660940861395,0.9287452243025862,0.9380907223853455,0.9179115270200905,0.9201613937830334,0.9380907223853455,0.9767434617649873
2,2,64,0.9794993288792277,0.9318968209356069,0.8639329992624658,0.932229014689255,0.9366939538694339,0.927096669326445,0.9279107254810441,0.9366939538694339,0.9775535042379803
2,3,32,0.9794862017364337,0.9294485041533944,0.8596572925104485,0.9305705043880195,0.9451989124912477,0.9136839407877677,0.9167224862472277,0.9451989124912477,0.9776253667168792
2,3,64,0.9802007832641128,0.931026585888868,0.8626561446347409,0.9316607421858698,0.9403866867099471,0.9216243816245914,0.9235585593693901,0.9403866867099471,0.9784356073726286
4,1,32,0.9790528649323174,0.9301313680178211,0.8605529913871711,0.9307351969397981,0.9383231002976349,0.9219370298426908,0.9234502769173061,0.9383231002976349,0.977327596398084
4,1,64,0.979718749617472,0.931384673037287,0.8632281473101434,0.9318958853875646,0.9383664201965967,0.9243868092677483,0.925904277941988,0.9383664201965967,0.9779452011403216
4,2,32,0.9785887061622003,0.9296733495721693,0.8596277945015004,0.9303919970604474,0.9394251924392412,0.9199234822323769,0.9216543093502585,0.9394251924392412,0.976707793099202
4,2,64,0.9799703903567206,0.9307143005850145,0.8619804963563846,0.9314241217056869,0.940819675372952,0.92058809246754,0.9226109527498689,0.940819675372952,0.9780406009097538
4,3,32,0.9792647433619482,0.9295900734911415,0.859681715034395,0.9305319440416294,0.9427401757804269,0.9164260152974565,0.9188493516550643,0.9427401757804269,0.9774732908548623
4,3,64,0.9798210131940743,0.9320425540774051,0.8643434933702195,0.9323978784989869,0.9370846515232177,0.9269825697301796,0.9279874237615544,0.9370846515232177,0.9780372817969012
